,title,price ebook,purchase options,number of pages (hardcover),number of pages (paperback),reviews,language,age,review rate,reviews number,age (years),age average,number of pages
10,Jip en Janneke spelen buiten,4.49,2.0,48.0,,"5,0/5 (1 review)",Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",5.0,1.0,"3.5, 4.5, 5.5, 6.5",5.0,48.0
11,Woezel & Pip - Geheimen van de Tovertuin,5.99,2.0,,,no reviews,Nederlands,vanaf 2 jaar,,,2.5,2.5,
12,Woezel & Pip - Land van je ogen dicht,4.99,2.0,,,no reviews,Nederlands,vanaf 2 jaar,,,2.5,2.5,
13,Rood met witte stippen,2.99,4.0,,,"4,3/5 (4 reviews)",Nederlands,"vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar, vanaf 6 jaar",4.3,4.0,"3.5, 4.5, 5.5, 6.5",5.0,
14,The Giving Tree,11.99,4.0,64.0,64.0,"4,6/5 (5 reviews)",Engels,vanaf 3 jaar,4.6,5.0,3.5,3.5,64.0
15,ToddlerTales 2 -  Het Gigantische Dino Verhaal,8.99,3.0,48.0,,no reviews,Nederlands,"0-12 maanden, vanaf 3 jaar, vanaf 4 jaar, vanaf 5 jaar",,,"0.5, 3.5, 4.5, 5.5",3.5,48.0
16,Woezel & Pip - De leukste voorleesavonturen,7.99,3.0,64.0,,"4,8/5 (28 reviews)",Nederlands,vanaf 2 jaar,4.8,28.0,2.5,2.5,64.0
17,Max Lucado's Hermie & Friends - Colors,6.99,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
18,Dikkie Dik -  Bundel groen,2.99,2.0,,,"2,0/5 (2 reviews)",Nederlands,"0-12 maanden, vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",2.0,2.0,"0.5, 1.5, 2.5, 3.5",2.0,
19,Rush Hour,10.99,2.0,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
20,Dikkie Dik -  Colección gris,2.99,2.0,,,no reviews,Spaans,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
21,Goodnight - Goodnight Tractor,6.49,3.0,24.0,32.0,no reviews,Engels,"vanaf 2 jaar, vanaf 3 jaar",,,"2.5, 3.5",3.0,24.0
22,Animal Antics A to Z -  Rosie Raccoon's Rock and Roll Raft,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
23,De konijnenkeuteldropfabriek,5.99,5.0,,80.0,"1,5/5 (2 reviews)",Nederlands,vanaf 3 jaar,1.5,2.0,3.5,3.5,80.0
24,Het grote versjesboek,12.99,3.0,128.0,,"4,4/5 (13 reviews)",Nederlands,vanaf 3 jaar,4.4,13.0,3.5,3.5,128.0
25,Peppa Pig - Learn With Peppa,9.49,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
26,Van zeppelin tot graafmobiel,2.49,3.0,32.0,,no reviews,Nederlands,vanaf 3 jaar,,,3.5,3.5,32.0
27,Big Book of Brick Trucks,2.11,,,,no reviews,Engels,vanaf 2 jaar,,,2.5,2.5,
28,Dikkie Dik -  Bundel rood,2.99,2.0,,,"4,0/5 (1 review)",Nederlands,"0-12 maanden, vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",4.0,1.0,"0.5, 1.5, 2.5, 3.5",2.0,
29,Liselotje zet haar schoen,3.99,3.0,24.0,,"4,3/5 (3 reviews)",Nederlands,"0-12 maanden, vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",4.3,3.0,"0.5, 1.5, 2.5, 3.5",2.0,24.0
30,Tim op de tegels,7.99,3.0,32.0,,"4,9/5 (16 reviews)",Nederlands,vanaf 3 jaar,4.9,16.0,3.5,3.5,32.0
31,"Twinkle, Twinkle, Little Car",12.29,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
32,Baby,9.99,,,,no reviews,Nederlands,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
33,Kikker is een held,4.99,3.0,32.0,,"4,6/5 (5 reviews)",Nederlands,vanaf 3 jaar,4.6,5.0,3.5,3.5,32.0
34,Dikkie Dik -  Bundel geel,2.99,2.0,,,no reviews,Nederlands,"0-12 maanden, vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"0.5, 1.5, 2.5, 3.5",2.0,
35,Bing -  Dressing Up (Bing),6.78,,,,no reviews,Engels,0-12 maanden,,,0.5,0.5,
36,Everyman's Library Children's Classics Series - A Apple Pie and Traditional Nursery Rhymes,3.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
37,Der kleine König sucht den Ball / baut einen Turm,2.99,4.0,,,no reviews,Duits,0-12 maanden,,,0.5,0.5,
38,Mouse Math -  Albert the Muffin-Maker,6.99,,,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,
39,Engage Early Readers: Children's Learning Books -  Sounds for Kids age 1-3 (Engage Early Readers: Children's Learning Books),0.99,,,,no reviews,Engels,"vanaf 1 jaar, vanaf 2 jaar, vanaf 3 jaar",,,"1.5, 2.5, 3.5",2.5,
40,Just in Case You Ever Wonder,11.99,3.0,30.0,,no reviews,Engels,vanaf 3 jaar,,,3.5,3.5,30.0
